School Absentee Rate,CDS_CODE
11.6,101010801030337
81.6,101010801030899
31.6,10101080109991
5.6,10101080111682
52.9,101010806069488
9.1,106211701030196
50.3,106211701030469
5.4,106211701030501
9.6,106211701030683
53.8,106211701031004
9.4,106211701031053
56.8,10621170110270
7.1,10621170113555
12.8,10621170118018
86.7,106212501030113
85.7,106212501030477
100.0,106212501030873
19.1,106212501031376
25.0,106215801031954
10.6,106215801032150
48.0,10621580108977
8.3,10621580120246
16.1,106216601030279
68.5,106216601030287
10.2,106216601030295
64.2,106216601030584
15.0,106216601030642
22.3,106216601030675
62.5,106216601030717
45.3,106216601030840
79.1,106216601031632
13.2,106216601031897
26.2,106216601032507
21.7,106216601032911
27.3,106216601034214
23.5,106216601035831
2.5,10621660108555
4.3,10621660114355
1.5,10621660114553
72.9,10621660120964
11.8,10621660132134
75.0,106216606112619
7.7,106225701033695
46.3,106225701033729
31.2,10622570124727
45.0,106226501030378
57.2,106226501033703
4.4,106226501035310
8.9,10622650108092
53.1,10622650116640
2.5,10622650126292
18.5,106228101033950
20.8,10623310130880
9.7,106236401034990
39.1,10623640126870
30.1,10623800124982
40.3,106241401030451
2.1,106241401030766
51.5,106241401030824
44.3,106241401036086
10.8,106241401036094
24.2,106243001030758
70.5,106243001036607
10.3,106243001036672
5.0,106253906112387
35.5,10625470120535
8.8,10625470127159
2.8,10625470135103
4.6,107380901030121
38.9,107380901030147
19.7,107396501030386
14.1,107396501030626
98.4,107396501035112
100.0,10739650114751
66.3,107399901033422
7.9,107399901033430
64.5,107512701030261
12.8,107512701030493
93.3,107523401030352
28.1,107523401037456
68.3,107527501030139
21.4,107527501036938
100.0,107540801030253
5.9,107540801035575
7.0,107559801030535
48.6,107559801030543
17.3,107677801030774
92.3,107677801038298
14.7,107677801038306
83.3,10767780108993
32.4,10767780122473
23.9,1100170112607
8.3,1100170130401
76.5,1100170130419
0.0,111011601130087
13.0,111011601130103
72.6,11101160130724
44.0,111011606077184
16.2,116264601136209
50.0,116265301132109
96.4,116266101130038
15.0,116266101132851
82.9,117548101130012
7.2,117548101135656
93.3,117656201130053
8.2,117656201133701
68.5,12101240106153
61.8,12101240106161
60.9,12101240106179
0.0,12101240106195
7.1,12101240106203
0.0,12101240134163
43.8,121012406077192
22.0,12626870107110
69.9,126268701230044
86.3,126268701230051
21.1,126268701230705
20.4,126268701235209
17.6,12626870124263
7.8,12628100108688
81.7,126281001233352
19.4,126281001233402
13.7,126292701230150
4.0,12630320111203
21.4,126304001230010
25.0,126304001237007
20.4,127537401232909
7.1,127538201230085
21.3,127538201230135
24.3,127551500
85.7,127551501232057
16.4,127551501232206
52.3,13101320131094
0.0,131013201330117
62.6,13101320134379
37.3,131013206069272
16.1,1316090131755
13.0,1316170131763
81.8,136308101330141
67.3,136308101331354
11.7,136308101331404
100.0,136309901332154
12.8,136309901332204
10.6,136310701332501
32.4,13631150131243
9.3,136311501330133
11.8,136311501333004
57.8,136311501333558
92.3,13631490125922
10.4,136314901335306
0.0,136314901337138
0.0,136316401331115
3.3,136316401335900
2.4,136321401330018
26.3,136321401337609
80.3,14101400117994
93.3,14101400128447
73.4,14101400128454
70.0,141014001430073
26.2,146324801431352
70.0,146327101438308
10.0,146328901434901
16.7,146329701436203
0.0,14766870119081
100.0,14766870125047
59.6,147668701430057
12.6,147668701431600
12.2,15101570119669
17.5,151015701530302
60.3,151015701530310
0.0,151015701530492
38.7,151015706069496
9.6,15634120100529
10.5,15634120116384
75.4,156341201531656
17.1,156341201531672
8.9,15635290100198
8.4,15635290110999
8.3,15635290116392
15.3,15635290116400
25.1,15635290125062
44.5,156352901530021
44.1,156352901530047
61.3,156352901530112
13.5,156352901530252
7.0,156352901530344
9.0,156352901530369
8.1,156352901530385
13.3,156352901530435
9.6,156352901530476
13.1,156352901530708
14.3,156352901532290
12.1,156352901532605
13.4,156352901533330
23.7,156352901533538
20.0,156352901534775
11.1,156352901535087
12.2,156352901535392
65.7,156352901536325
17.1,156352901536606
37.7,15636280127183
59.1,15636280127209
14.2,15636280134312
20.2,156362801533843
24.2,15636770114512
37.6,156367701534460
31.7,156368501530997
13.4,156368501531987
71.6,156377601530039
19.2,156377601530377
18.4,156377601534957
58.8,156381801530138
11.0,156381801535905
68.0,156382601530245
17.3,156382601536135
75.4,156385901530351
7.7,156385901536440
79.1,157374201530054
12.3,157374201531367
57.8,157390801530146
82.6,157390801530229
17.5,157390801534155
28.4,157516801530401
15.0,161016501630102
39.4,161016501630193
48.2,161016506069298
2.7,1611190106401
11.5,1611190119222
7.5,1611190130229
24.9,1611190130609
0.0,1611190130625
15.2,1611190132142
81.1,1611190134304
8.2,1611270130450
18.6,1611430122697
13.7,1611430131177
86.0,1611430134924
9.0,1611500132225
78.9,1611500133876
64.9,1611500135533
22.0,1611680132746
50.0,1611760127233
6.1,1611760130062
60.4,1611760130138
29.8,1611760130435
4.7,1611760130534
5.8,1611760134270
9.2,1611760134452
4.0,1611760135244
9.3,1611760138693
3.3,1611920108670
9.7,1611920113902
13.3,1611920127944
81.8,1611920133009
25.7,1611920133629
16.0,1611920135319
22.8,1611920138339
17.1,1612000120931
47.8,1612000130393
77.8,1612000132670
4.1,1612000133397
7.7,1612000134536
6.9,1612340130054
0.0,1612340130484
59.6,1612340135426
56.3,1612420110460
64.7,1612420110478
69.1,1612420126763
6.6,1612420134668
14.7,1612590100065
7.4,1612590100701
91.2,1612590106542
12.2,1612590106906
11.1,1612590108944
35.5,1612590110189
9.2,1612590111856
15.6,1612590112797
7.0,1612590114868
14.1,1612590115238
72.3,1612590115386
25.4,1612590115667
19.7,1612590118224
95.8,1612590118653
0.0,1612590119859
30.2,1612590125161
23.9,1612590125716
25.6,1612590126748
12.7,1612590129932
95.9,1612590130146
33.8,1612590130179
4.2,1612590130575
7.0,1612590130617
13.8,1612590130666
1.6,1612590132555
96.0,1612590132688
21.2,1612590135905
12.7,1612590136051
19.0,1612590137943
0.0,16125903030772
21.7,16125906056998
12.9,16125906066450
50.8,16125906114011
15.3,1612750130286
2.5,1612750136515
83.2,1612910134528
15.5,1612910137588
34.3,1613090111799
5.4,1613090114421
9.1,1613090130849
84.6,1613090137745
19.3,1613090137810
0.0,16638750101717
41.2,16638750112698
90.0,16638910110858
61.5,16638910122820
83.7,166389101632140
11.6,166389101632207
11.7,16639250118919
72.5,166392501630060
50.0,166392501630151
11.7,166392501630169
48.2,166392501634245
12.6,166392501634401
36.1,16639580132860
5.7,16639820110205
57.9,166398201630011
9.9,166398201635606
53.8,167393201630078
75.0,167393201630185
12.2,167393201630953
91.7,171017301730167
4.3,1750930132704
67.7,1750930138453
40.0,17510100
5.6,1751010130096
0.7,1751010130252
4.5,1751010130583
87.5,176401401730043
77.8,176401401730159
21.3,176401401734359
92.5,17640220107706
30.8,17640220132571
100.0,176402201730027
47.5,176402201730118
31.1,176402201735000
0.0,176403001730019
0.0,176403001732304
26.2,17640550129601
68.4,176405501730035
21.0,176405501736008
93.8,177697601730050
27.8,177697601737006
0.0,181018101830058
15.3,186408901831601
93.8,18641390131953
12.3,186413901833805
13.9,18641620120287
3.5,186416206010763
9.4,186420401830132
46.3,186420401838507
0.0,18750360121657
34.5,187503601833409
22.6,19101990109942
9.9,19101990112128
54.9,19101990121822
4.1,19101990121871
6.6,19101990121897
20.6,19101990121905
0.0,19101990121921
0.0,19101990121939
2.1,19101990121970
0.0,19101990121988
0.0,19101990121996
0.0,19101990122010
0.0,19101990122028
0.0,19101990122036
0.7,19101990122044
0.0,19101990122077
5.5,19101990123604
0.0,19101990123612
16.1,19101990127274
12.3,19101990127522
12.5,19101990134346
13.1,191019901933399
27.9,191019901995232
3.4,191019901995869
73.5,191019901996008
52.5,191019901996172
78.4,191019901996214
0.0,196421200
4.0,196421201930056
13.0,196421201930361
71.1,196421201931641
2.2,196421201931880
8.0,196421201933159
6.6,196421201995596
12.6,19642460100081
20.6,19642460108407
1.5,19642460111872
76.5,19642460115337
6.8,19642460126003
16.7,196424601930213
60.8,196424601931732
20.4,196424601936624
10.2,196424601937051
15.2,196424601995398
19.4,196424601995406
18.8,196424601995844
92.9,196424601995968
51.7,196424601996537
57.8,196424601996644
5.4,196426101930288
