School Name,Graduate count,CDS_CODE
Envision Academy for Arts & Technology,88,01100170112607
Alameda County Juvenile Hall/Court,18,01100170130401
Alameda County Community,28,01100170130419
Connecting Waters Charter - East Bay,17,01100170136101
Opportunity Academy,157,01100170136226
California School for the Deaf-Fremont,27,01316170131763
"Nonpublic, Nonsectarian Schools",2,01611190000001
Alameda Science and Technology Institute,43,01611190106401
Nea Community Learning Center,46,01611190119222
Alameda High,367,01611190130229
Alameda Community Learning Center,56,01611190130609
Alternatives in Action,31,01611190130625
Encinal Junior/Senior High,221,01611190132142
Island High (Continuation),49,01611190134304
MacGregor High (Continuation),12,01611270130294
Albany High,268,01611270130450
"Nonpublic, Nonsectarian Schools",1,01611430000001
Berkeley High,781,01611430131177
Berkeley Technology Academy,29,01611430134924
"Nonpublic, Nonsectarian Schools",1,01611500000001
Castro Valley High,647,01611500132225
Castro Valley Virtual Academy,32,01611500133876
Redwood Continuation High,65,01611500135533
Emery Secondary,38,01611680132746
American High,554,01611760130062
Robertson High (Continuation),91,01611760130138
Vista Alternative,15,01611760130435
Circle of Independent Learning,67,01611760130534
Irvington High,528,01611760134270
John F. Kennedy High,324,01611760134452
Mission San Jose High,475,01611760135244
Washington High,422,01611760138693
"Nonpublic, Nonsectarian Schools",1,01611920000001
Leadership Public Schools - Hayward,152,01611920108670
Silver Oak High Public Montessori Charter,45,01611920127944
Brenkwitz High,130,01611920133009
Hayward High,338,01611920133629
Mt. Eden High,361,01611920135319
Impact Academy of Arts & Technology,106,01611920137646
Tennyson High,255,01611920138339
"Nonpublic, Nonsectarian Schools",1,01612000000001
Vineyard Alternative,26,01612000130393
Del Valle Continuation High,81,01612000132670
Granada High,524,01612000133397
Livermore High,419,01612000134536
Newark Memorial High,375,01612340130054
Crossroads High (Alternative),9,01612340130484
Bridgepoint High (Continuation),11,01612340135426
Core Learning Academy at Conley-Caraballo High,54,01612420110460
Alternative Learning Academy at Conley-Caraballo High,3,01612420110478
Decoto School for Independent Study,39,01612420126763
James Logan High,743,01612420134668
"Nonpublic, Nonsectarian Schools",12,01612590000001
Oakland Unity High,69,01612590100065
MetWest High,40,01612590100701
Bay Area Technology,26,01612590106906
Lighthouse Community Charter High,63,01612590108944
McClymonds High,73,01612590110189
AIMS College Prep High,96,01612590111856
Coliseum College Prep Academy,61,01612590112797
Oakland Charter High,117,01612590114868
ARISE High,77,01612590115238
Civicorps Corpsmember Academy,18,01612590115386
Oakland International High,96,01612590115667
Aspire Golden State College Preparatory Academy,71,01612590118224
Ralph J. Bunche High,60,01612590118653
Gateway to College at Laney College,27,01612590119859
Castlemont High,105,01612590125161
Fremont High,140,01612590125716
LPS Oakland R & D Campus,105,01612590126748
East Bay Innovation Academy,65,01612590129932
Rudsdale Continuation,137,01612590130146
Street Academy (Alternative),10,01612590130179
LIFE Academy,50,01612590130575
"Oakland Military Institute, College Preparatory Academy",60,01612590130617
Aspire Lionel Wilson College Preparatory Academy,59,01612590130666
Conservatory of Vocal/Instrumental Arts High,16,01612590132555
Dewey Academy,84,01612590132688
Oakland High,341,01612590135905
Oakland Technical High,455,01612590136051
Skyline High,283,01612590137943
Oakland School for the Arts,104,01612593030772
Madison Park Academy 6-12,79,01612596066450
"Independent Study, Sojourner Truth",28,01612596114011
Millennium High Alternative,23,01612750130286
Piedmont High,207,01612750136515
Lincoln High (Continuation),76,01612910134528
San Leandro High,562,01612910137588
"Nonpublic, Nonsectarian Schools",2,01613090000001
East Bay Arts High,38,01613090111799
KIPP King Collegiate High,169,01613090114421
Arroyo High,405,01613090130849
Royal Sunset (Continuation),95,01613090137745
San Lorenzo High,314,01613090137810
District Office,17,01750930000000
Dublin High,718,01750930132704
Valley High (Continuation),26,01750930138453
"Nonpublic, Nonsectarian Schools",7,01751010000001
Foothill High,523,01751010130096
Village High,51,01751010130252
Amador Valley High,666,01751010130583
Independence High (Continuation),31,03739810330019
North Star Independent Study,43,03739810330050
Amador High,136,03739810330753
Argonaut High,92,03739810334755
CORE Butte Charter,110,04100410114991
Butte County Community,5,04100410129817
Come Back Butte Charter,24,04100410134213
Table Mountain,7,04100410430066
Hearthstone,15,04100410430090
Biggs High,45,04614080430827
Inspire School of Arts and Sciences,101,04614240120394
Pivot Charter School North Valley II,26,04614240137828
Oakdale,41,04614240430199
Fair View High (Continuation),93,04614240431502
Chico High,356,04614240431676
Pleasant Valley High,386,04614240437558
Durham High,78,04614320433201
Ipakanni Early College Charter,11,04615070121509
Las Plumas High,242,04615150434803
Oroville High,190,04615150435602
Prospect High (Continuation),56,04615150437566
Paradise eLearning Academy,57,04615310121715
Ridgeview High (Continuation),24,04615310432856
Paradise Senior High,85,04615310437350
HomeTech Charter,18,04615316112585
Esperanza High (Continuation),19,04755070433946
Gridley High,136,04755070433953
Calaveras River Academy,10,05100580530048
Mountain Oaks,42,05100580530154
Calaveras County Special Education (SELPA),3,05100586077150
Oakendell Community,6,05100589010745
Vallecito Continuation High,26,05615560530014
Bret Harte Union High,123,05615560532507
Gold Strike High,17,05615640530022
Calaveras Unified Alternative-Sierra Hills Education Center,31,05615640530055
Calaveras High,162,05615640531509
Colusa Alternative High (Continuation),22,06615980630012
Colusa Alternative Home,16,06615980630046
Colusa High,81,06615980631259
Maxwell Sr High,18,06616060634758
Arbuckle Alternative High (Continuation),3,06616140630087
Pierce High,105,06616140635250
Mid Valley High (Continuation),13,06616220630038
Williams Junior/Senior High,72,06616220637504
Making Waves Academy,93,07100740114470
Mt. McKinley,29,07100740120444
Summit Public School K2,84,07100740129684
Contra Costa School of Performing Arts,23,07100740134114
Golden Gate Community,29,07100740730614
Clayton Valley Charter High,528,07100740731380
Floyd I. Marchus,4,07100746077168
"Nonpublic, Nonsectarian Schools",10,07616300000001
Acalanes Center for Independent Study,26,07616300107524
