"2022-23 CALPADS 
One-Year Graduate Counts",District Name,School Name,Reporting Category,Graduate count
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,GF,33
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,GM,30
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,RA,1
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,RB,23
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,RH,32
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,RT,3
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,RW,4
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,SD,14
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,SE,11
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,SF,1
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,SH,2
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,SS,56
2022-23,Alameda County Office of Education,Envision Academy for Arts & Technology,TA,63
2022-23,Alameda County Office of Education,Alameda County Juvenile Hall/Court,GM,15
2022-23,Alameda County Office of Education,Alameda County Juvenile Hall/Court,RB,10
2022-23,Alameda County Office of Education,Alameda County Juvenile Hall/Court,RF,1
2022-23,Alameda County Office of Education,Alameda County Juvenile Hall/Court,RH,3
2022-23,Alameda County Office of Education,Alameda County Juvenile Hall/Court,RW,1
2022-23,Alameda County Office of Education,Alameda County Juvenile Hall/Court,SD,3
2022-23,Alameda County Office of Education,Alameda County Juvenile Hall/Court,SF,2
2022-23,Alameda County Office of Education,Alameda County Juvenile Hall/Court,SH,7
2022-23,Alameda County Office of Education,Alameda County Juvenile Hall/Court,SS,15
2022-23,Alameda County Office of Education,Alameda County Juvenile Hall/Court,TA,15
2022-23,Alameda County Office of Education,Alameda County Community,GF,11
2022-23,Alameda County Office of Education,Alameda County Community,GM,5
2022-23,Alameda County Office of Education,Alameda County Community,RB,3
2022-23,Alameda County Office of Education,Alameda County Community,RH,11
2022-23,Alameda County Office of Education,Alameda County Community,RI,1
2022-23,Alameda County Office of Education,Alameda County Community,RW,1
2022-23,Alameda County Office of Education,Alameda County Community,SE,6
2022-23,Alameda County Office of Education,Alameda County Community,SS,14
2022-23,Alameda County Office of Education,Alameda County Community,TA,16
2022-23,Alameda County Office of Education,Alternatives in Action,GF,23
2022-23,Alameda County Office of Education,Alternatives in Action,GM,18
2022-23,Alameda County Office of Education,Alternatives in Action,RB,3
2022-23,Alameda County Office of Education,Alternatives in Action,RH,38
2022-23,Alameda County Office of Education,Alternatives in Action,SD,2
2022-23,Alameda County Office of Education,Alternatives in Action,SE,25
2022-23,Alameda County Office of Education,Alternatives in Action,SH,2
2022-23,Alameda County Office of Education,Alternatives in Action,SS,40
2022-23,Alameda County Office of Education,Alternatives in Action,TA,41
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,GF,15
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,GM,16
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,RA,9
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,RB,1
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,RD,1
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,RH,5
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,RT,5
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,RW,10
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,SD,2
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,SH,1
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,SS,13
2022-23,Alameda County Office of Education,Connecting Waters Charter - East Bay,TA,31
2022-23,Alameda County Office of Education,Opportunity Academy,GF,87
2022-23,Alameda County Office of Education,Opportunity Academy,GM,83
2022-23,Alameda County Office of Education,Opportunity Academy,GX,1
2022-23,Alameda County Office of Education,Opportunity Academy,RA,6
2022-23,Alameda County Office of Education,Opportunity Academy,RB,66
2022-23,Alameda County Office of Education,Opportunity Academy,RD,4
2022-23,Alameda County Office of Education,Opportunity Academy,RF,2
2022-23,Alameda County Office of Education,Opportunity Academy,RH,73
2022-23,Alameda County Office of Education,Opportunity Academy,RI,2
2022-23,Alameda County Office of Education,Opportunity Academy,RP,2
2022-23,Alameda County Office of Education,Opportunity Academy,RT,6
2022-23,Alameda County Office of Education,Opportunity Academy,RW,10
2022-23,Alameda County Office of Education,Opportunity Academy,SD,19
2022-23,Alameda County Office of Education,Opportunity Academy,SE,15
2022-23,Alameda County Office of Education,Opportunity Academy,SF,9
2022-23,Alameda County Office of Education,Opportunity Academy,SH,33
2022-23,Alameda County Office of Education,Opportunity Academy,SS,118
2022-23,Alameda County Office of Education,Opportunity Academy,TA,171
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,GF,12
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,GM,18
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,RA,4
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,RB,4
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,RF,1
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,RH,12
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,RW,9
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,SD,30
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,SF,2
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,SS,30
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,TA,30
2022-23,Alameda Unified,District Office,GF,1
2022-23,Alameda Unified,District Office,RH,1
2022-23,Alameda Unified,District Office,TA,1
2022-23,Alameda Unified,"Nonpublic, Nonsectarian Schools",GF,2
2022-23,Alameda Unified,"Nonpublic, Nonsectarian Schools",RT,1
2022-23,Alameda Unified,"Nonpublic, Nonsectarian Schools",RW,1
2022-23,Alameda Unified,"Nonpublic, Nonsectarian Schools",SD,2
2022-23,Alameda Unified,"Nonpublic, Nonsectarian Schools",TA,2
2022-23,Alameda Unified,Alameda Science and Technology Institute,GF,20
2022-23,Alameda Unified,Alameda Science and Technology Institute,GM,21
2022-23,Alameda Unified,Alameda Science and Technology Institute,RA,24
2022-23,Alameda Unified,Alameda Science and Technology Institute,RB,1
2022-23,Alameda Unified,Alameda Science and Technology Institute,RD,1
2022-23,Alameda Unified,Alameda Science and Technology Institute,RF,3
2022-23,Alameda Unified,Alameda Science and Technology Institute,RH,2
2022-23,Alameda Unified,Alameda Science and Technology Institute,RT,5
2022-23,Alameda Unified,Alameda Science and Technology Institute,RW,5
2022-23,Alameda Unified,Alameda Science and Technology Institute,SD,1
2022-23,Alameda Unified,Alameda Science and Technology Institute,SS,17
2022-23,Alameda Unified,Alameda Science and Technology Institute,TA,41
2022-23,Alameda Unified,Nea Community Learning Center,GF,14
2022-23,Alameda Unified,Nea Community Learning Center,GM,16
2022-23,Alameda Unified,Nea Community Learning Center,RB,3
2022-23,Alameda Unified,Nea Community Learning Center,RD,2
2022-23,Alameda Unified,Nea Community Learning Center,RH,17
2022-23,Alameda Unified,Nea Community Learning Center,RT,6
2022-23,Alameda Unified,Nea Community Learning Center,RW,2
2022-23,Alameda Unified,Nea Community Learning Center,SD,6
2022-23,Alameda Unified,Nea Community Learning Center,SE,4
2022-23,Alameda Unified,Nea Community Learning Center,SH,1
2022-23,Alameda Unified,Nea Community Learning Center,SS,10
2022-23,Alameda Unified,Nea Community Learning Center,TA,30
2022-23,Alameda Unified,Alameda High,GF,200
2022-23,Alameda Unified,Alameda High,GM,196
2022-23,Alameda Unified,Alameda High,GX,4
2022-23,Alameda Unified,Alameda High,RA,124
2022-23,Alameda Unified,Alameda High,RB,15
2022-23,Alameda Unified,Alameda High,RD,5
2022-23,Alameda Unified,Alameda High,RF,23
2022-23,Alameda Unified,Alameda High,RH,66
2022-23,Alameda Unified,Alameda High,RP,3
2022-23,Alameda Unified,Alameda High,RT,46
2022-23,Alameda Unified,Alameda High,RW,118
2022-23,Alameda Unified,Alameda High,SD,37
2022-23,Alameda Unified,Alameda High,SE,21
2022-23,Alameda Unified,Alameda High,SF,1
2022-23,Alameda Unified,Alameda High,SH,4
2022-23,Alameda Unified,Alameda High,SS,125
2022-23,Alameda Unified,Alameda High,TA,400
2022-23,Alameda Unified,Alameda Community Learning Center,GF,23
2022-23,Alameda Unified,Alameda Community Learning Center,GM,23
2022-23,Alameda Unified,Alameda Community Learning Center,RA,9
2022-23,Alameda Unified,Alameda Community Learning Center,RB,4
2022-23,Alameda Unified,Alameda Community Learning Center,RD,1
