Academic Year,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,District Name,School Name,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Percent Eligible Free,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2022-2023,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,0811,Directly funded,Y,4,12,272,199,0.7316176470588235,214,0.7867647058823529,268,196,0.7313432835820896,210,0.7835820895522388,Y
2022-2023,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,CEP,Yes,1284,Directly funded,Y,K,8,183,135,0.7377049180327869,139,0.7595628415300546,181,133,0.7348066298342542,137,0.7569060773480663,Y
2022-2023,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1296,Directly funded,Y,K,8,766,193,0.2519582245430809,205,0.26762402088772846,766,193,0.2519582245430809,205,0.26762402088772846,Y
2022-2023,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1383,Directly funded,Y,K,8,328,78,0.23780487804878048,86,0.2621951219512195,307,77,0.250814332247557,84,0.2736156351791531,Y
2022-2023,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,No ,,,N,K,12,48,48,1,48,1,40,40,1,40,1,Y
2022-2023,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,No ,,,N,K,12,54,45,0.8333333333333334,45,0.8333333333333334,34,26,0.7647058823529411,26,0.7647058823529411,Y
2022-2023,01,10017,0130625,Alameda,Alameda County Office of Education,Alternatives in Action,County Office of Education (COE),High Schools (Public),Traditional,,Yes,0398,Directly funded,Y,9,12,143,107,0.7482517482517482,128,0.8951048951048951,122,90,0.7377049180327869,109,0.8934426229508197,Y
2022-2023,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,Provision 2,Yes,1707,Directly funded,Y,6,8,59,26,0.4406779661016949,26,0.4406779661016949,59,26,0.4406779661016949,26,0.4406779661016949,Y
2022-2023,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,1881,Directly funded,Y,K,12,494,117,0.23684210526315788,134,0.27125506072874495,488,115,0.23565573770491804,132,0.27049180327868855,Y
