Absentee Rate,CDS_CODE,Dropout Rate,FRPM School-Level Data ,School Pov Rate_x,School Pov Rate_y
31.6,10101080109991,0.2428407789232531,2016-2017,0.8985976267529665,0.8985976267529665
5.6,10101080111682,0.0,2016-2017,0.484375,0.484375
56.8,10621170110270,0.3235294117647059,2016-2017,0.8571428571428571,0.8571428571428571
7.1,10621170113555,0.0,2016-2017,0.18375552874949738,0.18375552874949738
12.8,10621170118018,0.0299003322259136,2016-2017,0.24709302325581395,0.24709302325581395
48.0,10621580108977,0.0,2016-2017,0.8571428571428571,0.8571428571428571
8.3,10621580120246,0.0,2016-2017,0.5,0.5
2.5,10621660108555,0.0,2016-2017,0.8075313807531381,0.8075313807531381
4.3,10621660114355,0.0576923076923076,2016-2017,0.7750611246943765,0.7750611246943765
1.5,10621660114553,0.0,2016-2017,0.09915611814345991,0.09915611814345991
72.9,10621660120964,0.0384615384615384,2016-2017,0.9772727272727273,0.9772727272727273
11.8,10621660132134,0.0,2016-2017,0.8097345132743363,0.8097345132743363
31.2,10622570124727,0.0256410256410256,2016-2017,0.358974358974359,0.358974358974359
8.9,10622650108092,0.0030864197530864,2016-2017,0.9614197530864198,0.9614197530864198
53.1,10622650116640,0.0163934426229508,2016-2017,0.7049180327868853,0.7049180327868853
2.5,10622650126292,0.0,2016-2017,0.821656050955414,0.821656050955414
20.8,10623310130880,0.15,2016-2017,0.6779661016949152,0.6779661016949152
39.1,10623640126870,0.1914893617021276,2016-2017,0.8297872340425532,0.8297872340425532
30.1,10623800124982,0.1353919239904988,2016-2017,0.9453681710213777,0.9453681710213777
35.5,10625470120535,0.1483113069016152,2016-2017,0.7709251101321586,0.7709251101321586
8.8,10625470127159,0.1481481481481481,2016-2017,0.8064516129032258,0.8064516129032258
2.8,10625470135103,0.0,2016-2017,0.4435483870967742,0.4435483870967742
100.0,10739650114751,0.2307692307692307,2016-2017,0.9473684210526315,0.9473684210526315
83.3,10767780108993,0.6,2016-2017,1,1
32.4,10767780122473,0.2148760330578512,2016-2017,0.8347107438016529,0.8347107438016529
68.5,12101240106153,0.1929824561403508,2016-2017,0.8448275862068966,0.8448275862068966
61.8,12101240106161,0.2045454545454545,2016-2017,0.8958333333333334,0.8958333333333334
