Academic Year,District Name,School Name,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate,Graduate count,Graduation Rate
2022-23,Alvord Unified,La Sierra High,GF,771,244,31.6,12,0.01556420233463035
2022-23,Placentia-Yorba Linda Unified,Esperanza High,SS,608,171,28.1,109,0.17927631578947367
2022-23,San Francisco Unified,Independence High,GF,180,108,60,42,0.23333333333333334
2022-23,Sweetwater Union High,District Office,RW,151,128,84.8,2,0.013245033112582781
2022-23,Modesto City High,Modesto High,GM,1283,402,31.3,255,0.19875292283710055
2022-23,San Bernardino City Unified,Arroyo Valley High,SE,567,236,41.6,73,0.12874779541446207
2022-23,Apple Valley Unified,Granite Hills High,RB,201,104,51.7,1,0.004975124378109453
2022-23,San Diego Unified,San Diego High,RH,1571,638,40.6,343,0.21833227243793762
2022-23,Corona-Norco Unified,Santiago High,TA,3555,620,17.4,464,0.13052039381153305
2022-23,Carlsbad Unified,Sage Creek High,RA,154,11,7.1,34,0.22077922077922077
2022-23,Los Angeles Unified,Harris Newmark Continuation,RH,118,102,86.4,45,0.3813559322033898
2022-23,Lakeside Union Elementary,River Valley Charter,SD,23,1,4.3,1,0.043478260869565216
2022-23,Santa Monica-Malibu Unified,"Nonpublic, Nonsectarian Schools",SD,15,0,0,4,0.26666666666666666
2022-23,Fullerton Joint Union High,La Habra High,RT,27,4,14.8,14,0.5185185185185185
2022-23,Southern Kern Unified,Rosamond High Early College Campus,RW,237,72,30.4,40,0.16877637130801687
2022-23,Los Angeles Unified,Computer Science Virtual Academy,RF,21,17,81,2,0.09523809523809523
2022-23,San Jose Unified,Pioneer High,GF,772,171,22.2,123,0.15932642487046633
2022-23,Los Angeles Unified,Rancho Dominguez Preparatory,RT,13,2,15.4,1,0.07692307692307693
2022-23,Central Union High,Desert Oasis High (Continuation),SD,22,10,45.5,5,0.22727272727272727
2022-23,Mt. Diablo Unified,District Office,GM,140,47,33.6,1,0.007142857142857143
2022-23,Pajaro Valley Unified,PVUSD Virtual Academy,TA,190,89,46.8,18,0.09473684210526316
2022-23,Hayward Unified,Mt. Eden High,SM,36,9,25,10,0.2777777777777778
2022-23,Western Placer Unified,John Adams Academy - Lincoln,RF,44,5,11.4,1,0.022727272727272728
2022-23,Santa Ana Unified,Hector G. Godinez,SH,269,48,17.8,86,0.31970260223048325
2022-23,Clovis Unified,Gateway High (Continuation),RW,88,53,60.2,21,0.23863636363636365
2022-23,Sacramento City Unified,Arthur A. Benjamin Health Professions High,GM,61,25,41,13,0.21311475409836064
2022-23,East Whittier City Elementary,District Office,GF,53,11,20.8,4,0.07547169811320754
2022-23,Murrieta Valley Unified,Vista Murrieta High,SH,15,6,40,1,0.06666666666666667
2022-23,Oak Grove Elementary,District Office,RH,34,24,70.6,211,6.205882352941177
2022-23,Pomona Unified,School of Extended Educational Options,SE,110,25,22.7,21,0.19090909090909092
2022-23,Murrieta Valley Unified,District Office,SS,33,15,45.5,1,0.030303030303030304
2022-23,Los Angeles Unified,Grover Cleveland Charter High,GF,1490,436,29.3,317,0.212751677852349
2022-23,Baldwin Park Unified,District Office,SS,37,23,62.2,2,0.05405405405405406
2022-23,Inglewood Unified,Animo Inglewood Charter High,RB,66,13,19.7,17,0.25757575757575757
2022-23,Tehama County Department of Education,Tehama eLearning Academy,SS,119,26,21.8,29,0.24369747899159663
2022-23,East Side Union High,Foothill High,SS,285,231,81.1,48,0.16842105263157894
2022-23,Warner Unified,Excel Academy Charter,RF,23,0,0,2,0.08695652173913043
2022-23,Folsom-Cordova Unified,Walnutwood High (Independent Study),SD,57,33,57.9,13,0.22807017543859648
2022-23,Corning Union High,Centennial Continuation High,SE,42,31,73.8,20,0.47619047619047616
2022-23,Mountain View-Los Altos Union High,Los Altos High,SD,254,92,36.2,67,0.2637795275590551
2022-23,Fowler Unified,Fowler High,SE,94,27,28.7,21,0.22340425531914893
2022-23,Yreka Union High,Yreka High,TA,687,194,28.2,137,0.19941775836972345
2022-23,South San Francisco Unified,El Camino High,SH,17,8,47.1,3,0.17647058823529413
2022-23,Irvine Unified,Woodbridge High,SH,17,8,47.1,5,0.29411764705882354
2022-23,Los Angeles Unified,Camino Nuevo High #2,SD,79,33,41.8,11,0.13924050632911392
2022-23,Fillmore Unified,Sierra High,GM,71,36,50.7,176,2.4788732394366195
