Academic Year,District Name,School Name,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate,Graduate count
2022-23,Alvord Unified,La Sierra High,GF,771,244,31.6,12
2022-23,Placentia-Yorba Linda Unified,Esperanza High,SS,608,171,28.1,109
2022-23,San Francisco Unified,Independence High,GF,180,108,60,42
2022-23,Sweetwater Union High,District Office,RW,151,128,84.8,2
2022-23,Modesto City High,Modesto High,GM,1283,402,31.3,255
2022-23,San Bernardino City Unified,Arroyo Valley High,SE,567,236,41.6,73
2022-23,Apple Valley Unified,Granite Hills High,RB,201,104,51.7,1
2022-23,San Diego Unified,San Diego High,RH,1571,638,40.6,343
2022-23,Corona-Norco Unified,Santiago High,TA,3555,620,17.4,464
2022-23,Carlsbad Unified,Sage Creek High,RA,154,11,7.1,34
2022-23,Los Angeles Unified,Harris Newmark Continuation,RH,118,102,86.4,45
2022-23,Lakeside Union Elementary,River Valley Charter,SD,23,1,4.3,1
2022-23,Santa Monica-Malibu Unified,"Nonpublic, Nonsectarian Schools",SD,15,0,0,4
2022-23,Fullerton Joint Union High,La Habra High,RT,27,4,14.8,14
2022-23,Southern Kern Unified,Rosamond High Early College Campus,RW,237,72,30.4,40
2022-23,Los Angeles Unified,Computer Science Virtual Academy,RF,21,17,81,2
2022-23,San Jose Unified,Pioneer High,GF,772,171,22.2,123
2022-23,Los Angeles Unified,Rancho Dominguez Preparatory,RT,13,2,15.4,1
2022-23,Central Union High,Desert Oasis High (Continuation),SD,22,10,45.5,5
2022-23,Mt. Diablo Unified,District Office,GM,140,47,33.6,1
2022-23,Pajaro Valley Unified,PVUSD Virtual Academy,TA,190,89,46.8,18
2022-23,Hayward Unified,Mt. Eden High,SM,36,9,25,10
2022-23,Western Placer Unified,John Adams Academy - Lincoln,RF,44,5,11.4,1
2022-23,Santa Ana Unified,Hector G. Godinez,SH,269,48,17.8,86
2022-23,Clovis Unified,Gateway High (Continuation),RW,88,53,60.2,21
2022-23,Sacramento City Unified,Arthur A. Benjamin Health Professions High,GM,61,25,41,13
2022-23,East Whittier City Elementary,District Office,GF,53,11,20.8,4
2022-23,Murrieta Valley Unified,Vista Murrieta High,SH,15,6,40,1
2022-23,Oak Grove Elementary,District Office,RH,34,24,70.6,211
2022-23,Pomona Unified,School of Extended Educational Options,SE,110,25,22.7,21
2022-23,Murrieta Valley Unified,District Office,SS,33,15,45.5,1
2022-23,Los Angeles Unified,Grover Cleveland Charter High,GF,1490,436,29.3,317
2022-23,Baldwin Park Unified,District Office,SS,37,23,62.2,2
2022-23,Inglewood Unified,Animo Inglewood Charter High,RB,66,13,19.7,17
2022-23,Tehama County Department of Education,Tehama eLearning Academy,SS,119,26,21.8,29
2022-23,East Side Union High,Foothill High,SS,285,231,81.1,48
2022-23,Warner Unified,Excel Academy Charter,RF,23,0,0,2
2022-23,Folsom-Cordova Unified,Walnutwood High (Independent Study),SD,57,33,57.9,13
2022-23,Corning Union High,Centennial Continuation High,SE,42,31,73.8,20
2022-23,Mountain View-Los Altos Union High,Los Altos High,SD,254,92,36.2,67
2022-23,Fowler Unified,Fowler High,SE,94,27,28.7,21
2022-23,Yreka Union High,Yreka High,TA,687,194,28.2,137
2022-23,South San Francisco Unified,El Camino High,SH,17,8,47.1,3
2022-23,Irvine Unified,Woodbridge High,SH,17,8,47.1,5
2022-23,Los Angeles Unified,Camino Nuevo High #2,SD,79,33,41.8,11
2022-23,Fillmore Unified,Sierra High,GM,71,36,50.7,176
2022-23,Duarte Unified,District Office,TA,21,8,38.1,2
2022-23,San Pasqual Valley Unified,Bill M. Manes High,RI,13,0,0,1
2022-23,Rialto Unified,Eisenhower High,TA,2328,846,36.3,510
2022-23,Tamalpais Union High,Tamalpais High,RH,191,57,29.8,44
2022-23,Solano County Office of Education,Elite Public,RH,247,78,31.6,5
2022-23,Monrovia Unified,Monrovia High,RW,271,72,26.6,66
2022-23,Los Angeles Unified,Francisco Bravo Medical Magnet High,RB,22,3,13.6,5
